Winter period|||
Time from|Time to|Heat Demand|Electricity Price
DKK local time|DKK local time|MWh|DKK / Mwh(el)
2/13/2023 23:00|2/14/2023 0:00|6,19|1117,57
2/14/2023 0:00|2/14/2023 1:00|6,15|1010,17
2/14/2023 1:00|2/14/2023 2:00|6,33|985,59
2/14/2023 2:00|2/14/2023 3:00|6,32|984,39
2/14/2023 3:00|2/14/2023 4:00|6,38|984,1
2/14/2023 4:00|2/14/2023 5:00|7,02|985,59
2/14/2023 5:00|2/14/2023 6:00|7,21|1057,17
2/14/2023 6:00|2/14/2023 7:00|7,4|1238,09
2/14/2023 7:00|2/14/2023 8:00|6,92|1489,63
2/14/2023 8:00|2/14/2023 9:00|7,06|1541,69
2/14/2023 9:00|2/14/2023 10:00|7,02|1345,2
2/14/2023 10:00|2/14/2023 11:00|7,12|1029,83
2/14/2023 11:00|2/14/2023 12:00|7,08|1036,53
2/14/2023 12:00|2/14/2023 13:00|7,08|970,99
2/14/2023 13:00|2/14/2023 14:00|7|934,12
2/14/2023 14:00|2/14/2023 15:00|6,64|945,44
2/14/2023 15:00|2/14/2023 16:00|7,09|985,59
2/14/2023 16:00|2/14/2023 17:00|7,07|1137,39
2/14/2023 17:00|2/14/2023 18:00|7,03|1346,76
2/14/2023 18:00|2/14/2023 19:00|6,53|1489,63
2/14/2023 19:00|2/14/2023 20:00|6,38|1437,34
2/14/2023 20:00|2/14/2023 21:00|6,51|1309,52
2/14/2023 21:00|2/14/2023 22:00|6,34|1192,43
2/14/2023 22:00|2/14/2023 23:00|6,41|1124,95
2/14/2023 23:00|2/15/2023 0:00|6,35|1055,68
